Name,Author,User Rating,Reviews,Price,Price_r,Year,Genre
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,"9,342",$10.00,$10,2011,Non Fiction
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,"9,342",$10.00,$10,2012,Non Fiction
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,"10,927",$6.00,$6,2014,Non Fiction
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,"5,235",$5.00,$5,2015,Non Fiction
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,"8,916",$6.00,$6,2016,Non Fiction
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,"2,507",$8.00,$8,2018,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,4.5,"3,673",$4.00,$4,2013,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,4.5,"3,673",$4.00,$4,2014,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,4.5,"3,673",$4.00,$4,2015,Non Fiction
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Children???€?s Book)",Jill Twiss,4.9,"11,881",$13.00,$13,2018,Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,"6,990",$4.00,$4,2013,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,"6,990",$4.00,$4,2014,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,"6,990",$4.00,$4,2015,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,"6,990",$4.00,$4,2016,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,"6,990",$4.00,$4,2017,Non Fiction
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,"6,132",$13.00,$13,2013,Non Fiction
Leonardo da Vinci,Walter Isaacson,4.5,"3,014",$21.00,$21,2017,Non Fiction
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,"7,550",$6.00,$6,2018,Non Fiction
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,"3,828",$15.00,$15,2009,Non Fiction
Life,Keith Richards,4.5,"2,752",$18.00,$18,2010,Non Fiction
Little Bee: A Novel,Chris Cleave,4.1,"1,467",$10.00,$10,2010,Fiction
Little Blue Truck,Alice Schertle,4.9,"1,884",$0.00,$0,2014,Fiction
Little Fires Everywhere,Celeste Ng,4.5,"25,706",$12.00,$12,2018,Fiction
Little Fires Everywhere,Celeste Ng,4.5,"43,514",$10.00,$10,2020,Fiction
Live Free Or Die: America (and the World) on the Brink,Sean Hannity,4.8,"20,153",$15.00,$15,2020,Non Fiction
Looking for Alaska,John Green,4.5,"8,491",$7.00,$7,2014,Fiction
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,"1,649",$13.00,$13,2011,Non Fiction
Love You Forever,Robert Munsch,4.8,"18,613",$5.00,$5,2014,Fiction
Love You Forever,Robert Munsch,4.8,"18,613",$5.00,$5,2015,Fiction
"Magnolia Table, Volume 2",Joanna Gaines,4.9,"16,515",$17.00,$17,2020,Non Fiction
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,"9,867",$16.00,$16,2018,Non Fiction
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,"1,386",$20.00,$20,2014,Non Fiction
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,"10,199",$11.00,$11,2017,Non Fiction
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,"2,926",$27.00,$27,2009,Non Fiction
Midnight Sun,Stephenie Meyer,4.8,"64,215",$13.00,$13,2020,Fiction
Milk and Honey,Rupi Kaur,4.7,"17,739",$8.00,$8,2016,Non Fiction
Milk and Honey,Rupi Kaur,4.7,"17,739",$8.00,$8,2017,Non Fiction
Milk and Honey,Rupi Kaur,4.7,"17,739",$8.00,$8,2018,Non Fiction
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,"3,113",$6.00,$6,2017,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,"5,542",$10.00,$10,2014,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,"5,542",$10.00,$10,2015,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,"5,542",$10.00,$10,2016,Non Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.5,"26,741",$8.00,$8,2010,Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.5,"26,741",$8.00,$8,2011,Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.5,"26,741",$8.00,$8,2012,Fiction
Modern Comfort Food: A Barefoot Contessa Cookbook,Ina Garten,4.8,"11,769",$21.00,$21,2020,Non Fiction
My First Learn to Write Workbook,Crystal Radke,4.8,"45,694",$15.00,$15,2020,Non Fiction
My First Learn to Write Workbook,Crystal Radke,4.8,"75,486",$4.07,$5,2021,Non Fiction
My First LIbrary: Boxset of 10 Board Books for Kids,Wonder House Books,4.6,"60,070",$14.40,$15,2021,Fiction
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,"5,347",$16.00,$16,2019,Non Fiction
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,"7,866",$11.00,$11,2019,Non Fiction
New Moon (The Twilight Saga),Stephenie Meyer,4.6,"5,680",$10.00,$10,2009,Fiction
Night (Night),Elie Wiesel,4.7,"5,178",$9.00,$9,2016,Non Fiction
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,"8,093",$14.00,$14,2012,Non Fiction
Obama: An Intimate Portrait,Pete Souza,4.9,"3,192",$22.00,$22,2017,Non Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,"21,834",$8.00,$8,2012,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,"21,834",$8.00,$8,2013,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,"21,834",$8.00,$8,2014,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,"21,834",$8.00,$8,2015,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,"21,834",$8.00,$8,2016,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,"21,834",$8.00,$8,2017,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,"21,834",$8.00,$8,2018,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,"21,834",$8.00,$8,2019,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,"41,796",$8.48,$9,2021,Fiction
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,"6,169",$7.00,$7,2015,Fiction
Olive Kitteridge,Elizabeth Strout,4.2,"4,519",$12.00,$12,2009,Fiction
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,"3,163",$13.00,$13,2011,Non Fiction
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,"3,163",$13.00,$13,2012,Non Fiction
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,"1,831",$9.00,$9,2017,Non Fiction
Origin: A Novel (Robert Langdon),Dan Brown,4.3,"18,904",$13.00,$13,2017,Fiction
Orphan Train,Christina Baker Kline,4.6,"21,930",$11.00,$11,2014,Fiction
Outliers: The Story of Success,Malcolm Gladwell,4.6,"10,426",$20.00,$20,2009,Non Fiction
Outliers: The Story of Success,Malcolm Gladwell,4.6,"10,426",$20.00,$20,2010,Non Fiction
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,"10,820",$5.00,$5,2018,Non Fiction
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,"10,820",$5.00,$5,2019,Non Fiction
Paint by Sticker Kids: Unicorns & Magic: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,Workman Publishing,4.8,"12,643",$9.00,$9,2020,Fiction
Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,Workman Publishing,4.8,"12,852",$6.00,$6,2020,Fiction
Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,Workman Publishing,4.8,"21,271",$8.49,$9,2021,Fiction
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,$2.00,$2,2010,Fiction
Peril,"Bob Woodward, Robert Costa",4.6,"20,037",$14.16,$15,2021,Non Fiction
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,"16,990",$27.00,$27,2017,Fiction
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,"16,990",$27.00,$27,2018,Fiction
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,"16,990",$27.00,$27,2019,Fiction
Pok????mon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pok????mon,Scholastic,4.7,"3,503",$9.00,$9,2016,Fiction
"Prayer Journal for Women: 52 Week Scripture, Devotional & Guided Prayer Journal",Shannon Roberts,4.8,"26,462",$10.00,$10,2020,Non Fiction
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,"13,616",$10.00,$10,2012,Non Fiction
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,"13,616",$10.00,$10,2013,Non Fiction
Publication Manual (OFFICIAL) 7th Edition of the American Psychological Association,American Psychological Association,4.8,"27,726",$26.00,$26,2021,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,"8,580",$46.00,$46,2009,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,"8,580",$46.00,$46,2010,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,"8,580",$46.00,$46,2011,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,"8,580",$46.00,$46,2012,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,"8,580",$46.00,$46,2013,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,"8,580",$46.00,$46,2014,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,"8,580",$46.00,$46,2015,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,"8,580",$46.00,$46,2016,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,"8,580",$46.00,$46,2017,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,"8,580",$46.00,$46,2018,Non Fiction
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,"4,757",$4.00,$4,2017,Fiction
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,"10,009",$20.00,$20,2012,Non Fiction
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,"10,009",$7.00,$7,2013,Non Fiction
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,"1,985",$9.00,$9,2010,Non Fiction
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,"1,985",$9.00,$9,2011,Non Fiction
Rage,Bob Woodward,4.7,"27,788",$15.00,$15,2020,Non Fiction
Ready Player One: A Novel,Ernest Cline,4.6,"22,536",$12.00,$12,2017,Fiction
Ready Player One: A Novel,Ernest Cline,4.6,"22,536",$12.00,$12,2018,Fiction
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7,"90,390",$15.49,$16,2021,Non Fiction
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,"7,150",$12.00,$12,2013,Fiction
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,"3,836",$12.00,$12,2014,Fiction
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,"7,802",$20.00,$20,2018,Non Fiction
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,"7,802",$20.00,$20,2019,Non Fiction
Sarah's Key,Tatiana de Rosnay,4.6,"3,619",$10.00,$10,2010,Fiction
School Zone,School Zone,4.8,"45,485",$8.00,$8,2020,Fiction
"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",School Zone,4.8,"65,184",$4.79,$5,2021,Non Fiction
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading???????",School Zone,4.8,"23,047",$6.00,$6,2018,Non Fiction
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading???????",School Zone,4.8,"23,047",$6.00,$6,2019,Non Fiction
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,"9,366",$9.00,$9,2015,Non Fiction
"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are (Self-Help Workbooks for Women)",Megan Logan MSW LCSW ,4.7,"15,104",$9.59,$10,2021,Non Fiction
Sh*t My Dad Says,Justin Halpern,4.7,"1,265",$11.00,$11,2010,Non Fiction
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,4.8,"3,923",$16.00,$16,2018,Non Fiction
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,"2,272",$6.00,$6,2013,Non Fiction
Sookie Stackhouse,Charlaine Harris,4.7,973,$25.00,$25,2009,Fiction
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual???????",Zhi Gang Sha,4.6,220,$17.00,$17,2013,Non Fiction
Steve Jobs,Walter Isaacson,4.6,"7,827",$20.00,$20,2011,Non Fiction
Steve Jobs,Walter Isaacson,4.6,"7,827",$20.00,$20,2012,Non Fiction
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,"9,382",$6.00,$6,2019,Fiction
StrengthsFinder 2.0,Gallup,4.0,"5,069",$17.00,$17,2009,Non Fiction
StrengthsFinder 2.0,Gallup,4.0,"5,069",$17.00,$17,2010,Non Fiction
StrengthsFinder 2.0,Gallup,4.0,"5,069",$17.00,$17,2011,Non Fiction
StrengthsFinder 2.0,Gallup,4.0,"5,069",$17.00,$17,2012,Non Fiction
StrengthsFinder 2.0,Gallup,4.0,"5,069",$17.00,$17,2013,Non Fiction
StrengthsFinder 2.0,Gallup,4.0,"5,069",$17.00,$17,2014,Non Fiction
StrengthsFinder 2.0,Gallup,4.0,"5,069",$17.00,$17,2015,Non Fiction
StrengthsFinder 2.0,Gallup,4.0,"5,069",$17.00,$17,2016,Non Fiction
StrengthsFinder 2.0,Gallup,4.0,"5,069",$17.00,$17,2017,Non Fiction
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,"1,583",$18.00,$18,2009,Non Fiction
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,"1,907",$13.00,$13,2010,Non Fiction
Sycamore Row (Jake Brigance),John Grisham,4.5,"23,114",$18.00,$18,2013,Fiction
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,$20.00,$20,2010,Non Fiction
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,$20.00,$20,2011,Non Fiction
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,"2,314",$22.00,$22,2011,Non Fiction
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,"4,587",$21.00,$21,2011,Non Fiction
The 48 Laws of Power,Robert Greene,4.7,"49,270",$11.60,$12,2021,Non Fiction
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,"3,477",$28.00,$28,2010,Non Fiction
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,"3,477",$28.00,$28,2011,Non Fiction
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,"3,477",$28.00,$28,2012,Non Fiction
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,"3,477",$28.00,$28,2013,Non Fiction
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,"3,477",$28.00,$28,2014,Non Fiction
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,"25,554",$8.00,$8,2015,Non Fiction
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,"25,554",$8.00,$8,2016,Non Fiction
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,"25,554",$8.00,$8,2017,Non Fiction
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,"25,554",$8.00,$8,2018,Non Fiction
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,"25,554",$8.00,$8,2019,Non Fiction
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,"44,174",$8.00,$8,2020,Non Fiction
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,"68,263",$7.57,$8,2021,Non Fiction
The 5000 Year Leap,W. Cleon Skousen,4.8,"1,680",$12.00,$12,2009,Non Fiction
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,"9,325",$24.00,$24,2009,Non Fiction
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,"9,325",$24.00,$24,2011,Non Fiction
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,"9,325",$24.00,$24,2012,Non Fiction
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,"9,325",$24.00,$24,2013,Non Fiction
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,"4,725",$16.00,$16,2015,Non Fiction
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,"4,725",$16.00,$16,2016,Non Fiction
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,"4,725",$16.00,$16,2017,Non Fiction
The Alchemist,Paulo Coelho,4.7,"35,799",$39.00,$39,2014,Fiction
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,4.7,"91,743",$13.99,$14,2021,Fiction
The Amateur,Edward Klein,4.6,"2,580",$9.00,$9,2012,Non Fiction
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,"11,813",$10.00,$10,2010,Fiction
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,"11,813",$10.00,$10,2011,Fiction
The Ballad of Songbirds and Snakes,Suzanne Collins,4.7,"37,173",$14.00,$14,2020,Fiction
The Big Book of Silly Jokes for Kids,Carole P. Roman,4.7,"11,668",$9.00,$9,2020,Fiction
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,"3,536",$17.00,$17,2010,Non Fiction
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,"6,600",$11.00,$11,2014,Fiction
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,"1,789",$14.00,$14,2012,Non Fiction
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,"12,361",$12.00,$12,2019,Non Fiction
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,"24,327",$8.00,$8,2020,Non Fiction
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,"53,535",$11.40,$12,2021,Non Fiction
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,858,$53.00,$53,2009,Non Fiction
The Book Thief,Markus Zusak,4.6,"23,148",$6.00,$6,2013,Fiction
The Book Thief,Markus Zusak,4.6,"23,148",$6.00,$6,2014,Fiction
The Book with No Pictures,B. J. Novak,4.8,"8,081",$8.00,$8,2014,Fiction
The Book with No Pictures,B. J. Novak,4.8,"8,081",$8.00,$8,2015,Fiction
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.9,"53,549",$15.00,$15,2020,Non Fiction
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.8,"106,658",$10.35,$11,2021,Non Fiction
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,"23,358",$12.00,$12,2014,Non Fiction
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,"23,358",$12.00,$12,2015,Non Fiction
The Casual Vacancy,J.K. Rowling,3.3,"9,372",$12.00,$12,2012,Fiction
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet???????,Thomas Campbell,4.7,"4,633",$21.00,$21,2011,Non Fiction
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,"13,061",$6.00,$6,2018,Non Fiction
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,"13,061",$6.00,$6,2019,Non Fiction
The Confession: A Novel,John Grisham,4.3,"3,523",$13.00,$13,2010,Fiction
The Constitution of the United States,Delegates of the Constitutional???€?,4.8,"2,774",$0.00,$0,2016,Non Fiction
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,$11.00,$11,2010,Non Fiction
The Day the Crayons Quit,Drew Daywalt,4.8,"8,922",$9.00,$9,2013,Fiction
The Day the Crayons Quit,Drew Daywalt,4.8,"8,922",$9.00,$9,2014,Fiction
The Day the Crayons Quit,Drew Daywalt,4.8,"8,922",$9.00,$9,2015,Fiction
The Deep End (Diary of a Wimpy Kid Book 15),Jeff Kinney,4.9,"26,047",$7.00,$7,2020,Fiction
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,"2,023",$15.00,$15,2011,Non Fiction
The Elegance of the Hedgehog,Muriel Barbery,4.0,"1,859",$11.00,$11,2009,Fiction
The Fault in Our Stars,John Green,4.7,"50,482",$13.00,$13,2012,Fiction
The Fault in Our Stars,John Green,4.7,"50,482",$13.00,$13,2013,Fiction
The Fault in Our Stars,John Green,4.7,"50,482",$7.00,$7,2014,Fiction
The Fault in Our Stars,John Green,4.7,"50,482",$13.00,$13,2014,Fiction
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,"3,207",$6.00,$6,2009,Non Fiction
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,"3,207",$6.00,$6,2010,Non Fiction
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,"3,207",$6.00,$6,2011,Non Fiction
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,"3,207",$6.00,$6,2012,Non Fiction
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,"3,207",$6.00,$6,2013,Non Fiction
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,803,$9.00,$9,2009,Non Fiction
The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,4.7,"45,368",$6.00,$6,2020,Non Fiction
The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,4.7,"48,326",$7.74,$8,2021,Non Fiction
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,"23,308",$6.00,$6,2013,Non Fiction
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,"23,308",$6.00,$6,2015,Non Fiction
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,"23,308",$6.00,$6,2016,Non Fiction
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,"23,308",$6.00,$6,2017,Non Fiction
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,"23,308",$6.00,$6,2018,Non Fiction
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,"23,308",$6.00,$6,2019,Non Fiction
The Four Winds: A Novel,Kristin Hannah,4.5,"117,146",$13.79,$14,2021,Fiction
The Getaway,Jeff Kinney,4.8,"5,836",$0.00,$0,2017,Fiction
The Girl on the Train,Paula Hawkins,4.1,"79,446",$18.00,$18,2015,Fiction
The Girl on the Train,Paula Hawkins,4.1,"79,446",$7.00,$7,2016,Fiction
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,"7,747",$14.00,$14,2010,Fiction
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,"7,747",$14.00,$14,2011,Fiction
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,"7,251",$9.00,$9,2010,Fiction
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,"7,251",$16.00,$16,2009,Fiction
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,"10,559",$2.00,$2,2009,Fiction
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,"10,559",$2.00,$2,2010,Fiction
The Going-To-Bed Book,Sandra Boynton,4.8,"5,249",$5.00,$5,2016,Fiction
The Going-To-Bed Book,Sandra Boynton,4.8,"5,249",$5.00,$5,2017,Fiction
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,"33,844",$20.00,$20,2013,Fiction
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,"33,844",$20.00,$20,2014,Fiction
The Great Gatsby,F. Scott Fitzgerald,4.4,"11,616",$7.00,$7,2012,Fiction
The Great Gatsby,F. Scott Fitzgerald,4.4,"11,616",$7.00,$7,2013,Fiction
The Great Gatsby,F. Scott Fitzgerald,4.4,"11,616",$7.00,$7,2014,Fiction
The Guardians: A Novel,John Grisham,4.5,"13,609",$14.00,$14,2019,Fiction
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,"8,587",$10.00,$10,2009,Fiction
The Handmaid's Tale,Margaret Atwood,4.3,"29,442",$7.00,$7,2017,Fiction
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,"11,098",$13.00,$13,2012,Fiction
The Hate U Give,Angie Thomas,4.8,"9,947",$11.00,$11,2018,Fiction
The Help,Kathryn Stockett,4.8,"13,871",$6.00,$6,2009,Fiction
The Help,Kathryn Stockett,4.8,"13,871",$6.00,$6,2010,Fiction
The Help,Kathryn Stockett,4.8,"13,871",$8.00,$8,2011,Fiction
